Slice,Count,Total Area,Average Size,%Area,Mean
H19.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),497,49081.366,98.755,0.475,255
H19.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),178,21654.565,121.655,0.199,255
H20.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),205,36885.247,179.928,0.372,255
H20.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),673,87258.837,129.657,0.388,255
H20.33.012-A12-NEUN_CA1-L_analysis.tif (RGB),831,122403.506,147.297,1.014,255
H20.33.012-A12-NEUN_CA1-R_analysis.tif (RGB),665,105700.202,158.948,0.808,255
H20.33.015-A12-NEUN_CA1-L_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H20.33.015-A12-NEUN_CA1-R_analysis.tif (RGB),1,67.932,67.932,8.852E-4,255
H20.33.016-A12-NEUN_CA1-L_analysis.tif (RGB),108,12821.851,118.721,0.094,255
H20.33.016-A12-NEUN_CA1-R_analysis.tif (RGB),162,14930.018,92.161,0.169,255
H20.33.017-A12-NEUN_CA1-L_analysis.tif (RGB),269,26525.817,98.609,0.162,255
H20.33.017-A12-NEUN_CA1-R_analysis.tif (RGB),567,39335.843,69.375,0.235,255
H20.33.029-A12-NEUN_CA1-L_analysis.tif (RGB),51,3049.910,59.802,0.023,255
H20.33.029-A12-NEUN_CA1-R_analysis.tif (RGB),42,2754.279,65.578,0.023,255
H20.33.031-A12-NEUN_CA1-L_analysis.tif (RGB),10,693.161,69.316,0.012,255
H20.33.031-A12-NEUN_CA1-R_analysis.tif (RGB),281,25854.545,92.009,0.264,255
H21.33.002-A12-NEUN_CA1-L_analysis.tif (RGB),4,379.415,94.854,0.007,255
H21.33.002-A12-NEUN_CA1-R_analysis.tif (RGB),52,8208.743,157.860,0.097,255
H21.33.003-A12-NEUN_CA1-L_analysis.tif (RGB),213,16297.220,76.513,0.156,255
H21.33.003-A12-NEUN_CA1-R_analysis.tif (RGB),25,2391.973,95.679,0.013,255
H21.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),4,511.254,127.813,0.004,255
H21.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),76,10020.523,131.849,0.061,255
H21.33.011-A12-NEUN_CA1-L_analysis.tif (RGB),475,80719.720,169.936,0.656,255
H21.33.011-A12-NEUN_CA1-R_analysis.tif (RGB),235,34693.297,147.631,0.235,255
H21.33.019-A12-NEUN_CA1-L_analysis.tif (RGB),5,206.061,41.212,0.002,255
H21.33.019-A12-NEUN_CA1-R_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H21.33.028-A12-NEUN_CA1-L_analysis.tif (RGB),3,249.588,83.196,0.002,255
H21.33.028-A12-NEUN_CA1-R_analysis.tif (RGB),1,278.774,278.774,0.002,255
H21.33.029-A12-NEUN_CA1-L_analysis.tif (RGB),20,2959.586,147.979,0.031,255
H21.33.029-A12-NEUN_CA1-R_analysis.tif (RGB),4,425.709,106.427,0.005,255
H21.33.038-A12-NEUN_CA1-L_analysis.tif (RGB),5925,637223.449,107.548,5.468,255
H21.33.038-A12-NEUN_CA1-R_analysis.tif (RGB),2693,204843.676,76.065,1.772,255
