Slice,Count,Total Area,Average Size,%Area,Mean
H19.33.004-A12-I6_CA1-L_analysis.tif (RGB),1235,52197.699,42.265,0.452,255
H19.33.004-A12-I6_CA1-R_analysis.tif (RGB),856,28870.237,33.727,0.251,255
H20.33.004-A12-I6_CA1-L_analysis.tif (RGB),4894,368680.374,75.333,4.664,255
H20.33.004-A12-I6_CA1-R_analysis.tif (RGB),9572,572082.375,59.766,3.103,255
H20.33.012-A12-I6_CA1-L_analysis.tif (RGB),2980,116033.717,38.937,0.829,255
H20.33.012-A12-I6_CA1-R_analysis.tif (RGB),3280,130658.795,39.835,0.771,255
H20.33.015-A12-I6_CA1-L_analysis.tif (RGB),1958,82383.308,42.075,1.547,255
H20.33.015-A12-I6_CA1-R_analysis.tif (RGB),2526,109680.031,43.420,1.326,255
H20.33.016-A12-I6_CA1-L_analysis.tif (RGB),1328,42740.260,32.184,0.280,255
H20.33.016-A12-I6_CA1-R_analysis.tif (RGB),2359,90463.482,38.348,0.805,255
H20.33.017-A12-I6_CA1-L_analysis.tif (RGB),671,17932.124,26.724,0.100,255
H20.33.017-A12-I6_CA1-R_analysis.tif (RGB),3426,117991.678,34.440,0.636,255
H20.33.029-A12-I6_CA1-L_analysis.tif (RGB),2668,108605.442,40.707,0.773,255
H20.33.029-A12-I6_CA1-R_analysis.tif (RGB),2144,86660.026,40.420,0.767,255
H20.33.031-A12-I6_CA1-L_analysis.tif (RGB),3343,174670.647,52.250,2.205,255
H20.33.031-A12-I6_CA1-R_analysis.tif (RGB),4861,253989.200,52.250,2.158,255
H21.33.002-A12-I6_CA1-L_analysis.tif (RGB),2522,90674.324,35.953,1.456,255
H21.33.002-A12-I6_CA1-R_analysis.tif (RGB),6126,264763.521,43.220,2.758,255
H21.33.003-A12-I6_CA1-L_analysis.tif (RGB),4666,246023.002,52.727,1.648,255
H21.33.003-A12-I6_CA1-R_analysis.tif (RGB),4490,186727.128,41.587,1.192,255
H21.33.004-A12-I6_CA1-L_analysis.tif (RGB),1680,82233.857,48.949,0.732,255
H21.33.004-A12-I6_CA1-R_analysis.tif (RGB),1720,75290.417,43.773,0.567,255
H21.33.011-A12-I6_CA1-L_analysis.tif (RGB),1241,40920.428,32.974,0.297,255
H21.33.011-A12-I6_CA1-R_analysis.tif (RGB),1748,58725.494,33.596,0.399,255
H21.33.019-A12-I6_CA1-L_analysis.tif (RGB),5661,249666.439,44.103,1.960,255
H21.33.019-A12-I6_CA1-R_analysis.tif (RGB),7593,362755.416,47.775,2.204,255
H21.33.028-A12-I6_CA1-L_analysis.tif (RGB),5910,309429.789,52.357,2.287,255
H21.33.028-A12-I6_CA1-R_analysis.tif (RGB),666,23736.565,35.640,0.220,255
H21.33.029-A12-I6_CA1-L_analysis.tif (RGB),4254,233654.787,54.926,2.394,255
H21.33.029-A12-I6_CA1-R_analysis.tif (RGB),3307,160628.027,48.572,1.791,255
H21.33.038-A12-I6_CA1-L_analysis.tif (RGB),1783,82922.741,46.507,0.682,255
H21.33.038-A12-I6_CA1-R_analysis.tif (RGB),4191,227833.740,54.363,1.800,255
