Slice,Count,Total Area,Average Size,%Area,Mean
H19.33.004-A12-AT_CA1-L_analysis.tif (RGB),4545,154532.889,34.001,1.029,255
H19.33.004-A12-AT_CA1-R_analysis.tif (RGB),10593,460593.903,43.481,3.529,255
H20.33.004-A12-AT_CA1-L_analysis.tif (RGB),18157,793085.644,43.679,10.359,255
H20.33.004-A12-AT_CA1-R_analysis.tif (RGB),39924,1767882.997,44.281,8.288,255
H20.33.012-A12-AT_CA1-L_analysis.tif (RGB),2177,74431.702,34.190,0.729,255
H20.33.012-A12-AT_CA1-R_analysis.tif (RGB),4821,150849.292,31.290,0.940,255
H20.33.015-A12-AT_CA1-L_analysis.tif (RGB),1654,41379.852,25.018,0.651,255
H20.33.015-A12-AT_CA1-R_analysis.tif (RGB),1163,30644.026,26.349,0.405,255
H20.33.016-A12-AT_CA1-L_analysis.tif (RGB),2283,96621.926,42.322,0.584,255
H20.33.016-A12-AT_CA1-R_analysis.tif (RGB),391,23101.021,59.082,0.229,255
H20.33.017-A12-AT_CA1-L_analysis.tif (RGB),36875,1453992.822,39.430,7.809,255
H20.33.017-A12-AT_CA1-R_analysis.tif (RGB),8180,279637.432,34.186,1.970,255
H20.33.029-A12-AT_CA1-L_analysis.tif (RGB),12932,581280.047,44.949,4.699,255
H20.33.029-A12-AT_CA1-R_analysis.tif (RGB),9913,336998.080,33.996,3.332,255
H20.33.031-A12-AT_CA1-L_analysis.tif (RGB),6916,291333.411,42.125,4.615,255
H20.33.031-A12-AT_CA1-R_analysis.tif (RGB),8648,441515.293,51.054,4.135,255
H21.33.002-A12-AT_CA1-L_analysis.tif (RGB),5963,276219.681,46.322,4.582,255
H21.33.002-A12-AT_CA1-R_analysis.tif (RGB),8137,368556.837,45.294,3.755,255
H21.33.003-A12-AT_CA1-L_analysis.tif (RGB),451,13452.364,29.828,0.090,255
H21.33.003-A12-AT_CA1-R_analysis.tif (RGB),54,1249.703,23.143,0.007,255
H21.33.004-A12-AT_CA1-L_analysis.tif (RGB),852,33540.074,39.366,0.254,255
H21.33.004-A12-AT_CA1-R_analysis.tif (RGB),2514,87770.884,34.913,0.552,255
H21.33.011-A12-AT_CA1-L_analysis.tif (RGB),4288,134715.362,31.417,1.027,255
H21.33.011-A12-AT_CA1-R_analysis.tif (RGB),14012,512348.715,36.565,3.445,255
H21.33.019-A12-AT_CA1-L_analysis.tif (RGB),9,344.442,38.271,0.003,255
H21.33.019-A12-AT_CA1-R_analysis.tif (RGB),2,34.469,17.235,2.775E-4,255
H21.33.028-A12-AT_CA1-L_analysis.tif (RGB),2304,65113.649,28.261,0.508,255
H21.33.028-A12-AT_CA1-R_analysis.tif (RGB),761,21685.260,28.496,0.195,255
H21.33.029-A12-AT_CA1-L_analysis.tif (RGB),21167,741692.566,35.040,7.291,255
H21.33.029-A12-AT_CA1-R_analysis.tif (RGB),6330,247019.846,39.024,2.784,255
H21.33.038-A12-AT_CA1-L_analysis.tif (RGB),1684,53887.956,32.000,0.400,255
H21.33.038-A12-AT_CA1-R_analysis.tif (RGB),1022,34614.294,33.869,0.229,255
