Slice,Count,Total Area,Average Size,%Area,Mean
H19.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),56,5042.844,90.051,0.049,255
H19.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),6,636.048,106.008,0.006,255
H20.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),65,11121.027,171.093,0.112,255
H20.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),375,54790.450,146.108,0.244,255
H20.33.012-A12-NEUN_CA1-L_analysis.tif (RGB),39,4390.442,112.575,0.036,255
H20.33.012-A12-NEUN_CA1-R_analysis.tif (RGB),16,1796.936,112.309,0.014,255
H20.33.015-A12-NEUN_CA1-L_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H20.33.015-A12-NEUN_CA1-R_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H20.33.016-A12-NEUN_CA1-L_analysis.tif (RGB),64,7807.690,121.995,0.057,255
H20.33.016-A12-NEUN_CA1-R_analysis.tif (RGB),301,29575.727,98.258,0.334,255
H20.33.017-A12-NEUN_CA1-L_analysis.tif (RGB),17,1399.909,82.348,0.009,255
H20.33.017-A12-NEUN_CA1-R_analysis.tif (RGB),120,8015.764,66.798,0.048,255
H20.33.029-A12-NEUN_CA1-L_analysis.tif (RGB),26,1707.366,65.668,0.013,255
H20.33.029-A12-NEUN_CA1-R_analysis.tif (RGB),17,1130.696,66.512,0.009,255
H20.33.031-A12-NEUN_CA1-L_analysis.tif (RGB),3,437.283,145.761,0.008,255
H20.33.031-A12-NEUN_CA1-R_analysis.tif (RGB),121,10424.092,86.150,0.107,255
H21.33.002-A12-NEUN_CA1-L_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H21.33.002-A12-NEUN_CA1-R_analysis.tif (RGB),13,1468.345,112.950,0.017,255
H21.33.003-A12-NEUN_CA1-L_analysis.tif (RGB),18,1100.001,61.111,0.010,255
H21.33.003-A12-NEUN_CA1-R_analysis.tif (RGB),5,379.415,75.883,0.002,255
H21.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),2,180.650,90.325,0.001,255
H21.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),22,2784.471,126.567,0.017,255
H21.33.011-A12-NEUN_CA1-L_analysis.tif (RGB),352,64384.509,182.911,0.523,255
H21.33.011-A12-NEUN_CA1-R_analysis.tif (RGB),109,15794.520,144.904,0.107,255
H21.33.019-A12-NEUN_CA1-L_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H21.33.019-A12-NEUN_CA1-R_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H21.33.028-A12-NEUN_CA1-L_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H21.33.028-A12-NEUN_CA1-R_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H21.33.029-A12-NEUN_CA1-L_analysis.tif (RGB),4,828.271,207.068,0.009,255
H21.33.029-A12-NEUN_CA1-R_analysis.tif (RGB),2,148.193,74.097,0.002,255
H21.33.038-A12-NEUN_CA1-L_analysis.tif (RGB),5,319.785,63.957,0.003,255
H21.33.038-A12-NEUN_CA1-R_analysis.tif (RGB),326,28016.806,85.941,0.242,255
