Slice,Count,Total Area,Average Size,%Area,Mean
H19.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),709,53032.764,74.799,0.513,255
H19.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),440,35775.434,81.308,0.329,255
H20.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),868,119332.462,137.480,1.202,255
H20.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),2736,261877.403,95.715,1.166,255
H20.33.012-A12-NEUN_CA1-L_analysis.tif (RGB),1243,161259.797,129.734,1.337,255
H20.33.012-A12-NEUN_CA1-R_analysis.tif (RGB),1595,206201.316,129.280,1.575,255
H20.33.015-A12-NEUN_CA1-L_analysis.tif (RGB),63,5790.603,91.914,0.106,255
H20.33.015-A12-NEUN_CA1-R_analysis.tif (RGB),27,2165.532,80.205,0.028,255
H20.33.016-A12-NEUN_CA1-L_analysis.tif (RGB),107,11290.858,105.522,0.083,255
H20.33.016-A12-NEUN_CA1-R_analysis.tif (RGB),120,10370.249,86.419,0.117,255
H20.33.017-A12-NEUN_CA1-L_analysis.tif (RGB),986,62342.513,63.228,0.380,255
H20.33.017-A12-NEUN_CA1-R_analysis.tif (RGB),1730,99862.047,57.724,0.596,255
H20.33.029-A12-NEUN_CA1-L_analysis.tif (RGB),151,8890.079,58.875,0.068,255
H20.33.029-A12-NEUN_CA1-R_analysis.tif (RGB),66,3558.397,53.915,0.029,255
H20.33.031-A12-NEUN_CA1-L_analysis.tif (RGB),0,0.000,NaN,0.000,NaN
H20.33.031-A12-NEUN_CA1-R_analysis.tif (RGB),1,46.295,46.295,4.730E-4,255
H21.33.002-A12-NEUN_CA1-L_analysis.tif (RGB),312,58416.527,187.232,1.048,255
H21.33.002-A12-NEUN_CA1-R_analysis.tif (RGB),830,148568.779,178.999,1.747,255
H21.33.003-A12-NEUN_CA1-L_analysis.tif (RGB),920,96908.751,105.336,0.925,255
H21.33.003-A12-NEUN_CA1-R_analysis.tif (RGB),867,110638.883,127.611,0.617,255
H21.33.004-A12-NEUN_CA1-L_analysis.tif (RGB),520,96069.158,184.748,0.774,255
H21.33.004-A12-NEUN_CA1-R_analysis.tif (RGB),1027,184959.881,180.097,1.124,255
H21.33.011-A12-NEUN_CA1-L_analysis.tif (RGB),859,115469.124,134.423,0.939,255
H21.33.011-A12-NEUN_CA1-R_analysis.tif (RGB),756,93500.309,123.678,0.633,255
H21.33.019-A12-NEUN_CA1-L_analysis.tif (RGB),51,4362.514,85.539,0.051,255
H21.33.019-A12-NEUN_CA1-R_analysis.tif (RGB),13,879.346,67.642,0.007,255
H21.33.028-A12-NEUN_CA1-L_analysis.tif (RGB),840,93818.082,111.688,0.874,255
H21.33.028-A12-NEUN_CA1-R_analysis.tif (RGB),18,2454.370,136.354,0.022,255
H21.33.029-A12-NEUN_CA1-L_analysis.tif (RGB),121,17358.977,143.463,0.184,255
H21.33.029-A12-NEUN_CA1-R_analysis.tif (RGB),106,13089.555,123.486,0.153,255
H21.33.038-A12-NEUN_CA1-L_analysis.tif (RGB),174,14101.244,81.042,0.121,255
H21.33.038-A12-NEUN_CA1-R_analysis.tif (RGB),389,31855.486,81.891,0.276,255
